chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr9	118645000	118650000	chr9	119330000	119335000	0,0,0	2.6110342	0.9860443	1.4143757	1.8755854	2.121637	2.605124	0.79422015	4.272311
chr9	15280000	15285000	chr9	15405000	15410000	0,0,0	2.4530134	0.98280215	1.5436981	1.4915683	1.6077664	2.7375555	0.856876	4.063394
chr9	90300000	90305000	chr9	90430000	90435000	0,0,0	2.543816	0.9444922	1.8879677	0.73404455	0.7978164	2.2390478	0.40498367	2.8915317
chr9	17815000	17820000	chr9	18205000	18210000	0,0,0	4.7375097	0.9960931	3.1787417	0.9710994	2.3654604	4.6823864	0.68367755	5.5455856
chr9	110180000	110185000	chr9	111520000	111525000	0,0,0	3.4063456	0.99654526	1.8022066	3.7689342	3.8911152	4.4989824	1.4927864	7.849146
chr9	14620000	14625000	chr9	14765000	14770000	0,0,0	3.0298038	0.98089945	1.8621949	1.424465	1.671337	2.6922567	0.8150561	3.958448
chr9	80375000	80380000	chr9	80650000	80655000	0,0,0	2.093524	0.94689715	1.4019403	0.8185135	1.1061095	2.2082615	0.58997595	2.935829
chr9	108380000	108385000	chr9	108475000	108480000	0,0,0	2.1418233	0.93654656	1.4100527	0.907892	1.0182439	1.9507196	0.54329324	2.7577348
chr9	113790000	113795000	chr9	114060000	114065000	0,0,0	3.0250626	0.986822	2.018782	1.1392815	1.6807508	3.3169599	0.83949816	4.3296547
chr9	92465000	92470000	chr9	92500000	92505000	0,0,0	5.3309517	1.0	4.1562963	0.39315462	0.4527037	1.5363781	0.18122771	1.8858489
chr9	123640000	123645000	chr9	123690000	123695000	0,0,0	1.8011904	0.91525245	1.3042463	0.6746902	0.72672915	1.8686099	0.3171715	2.4683347
chr9	132405000	132410000	chr9	132470000	132475000	0,0,0	2.222102	0.952864	1.5970988	0.7808471	0.95219994	2.360948	0.3337372	3.0550344
chr9	116075000	116080000	chr9	116420000	116425000	0,0,0	2.8039012	0.9782093	1.5143057	1.5597426	1.970123	2.4402323	0.66417927	3.82667
chr9	116350000	116355000	chr9	116420000	116425000	0,0,0	3.642008	0.99031943	2.3413572	1.1066933	2.0347545	3.6543863	0.6465817	4.6381135
chr9	89085000	89090000	chr9	89935000	89940000	0,0,0	4.0606637	0.9996884	2.3515918	4.0019674	4.916522	6.961492	2.098561	10.518797
chr9	72280000	72285000	chr9	72490000	72495000	0,0,0	2.2336497	0.9729139	1.5158224	0.8936951	1.365432	2.8147147	0.7935721	3.60911
chr9	100835000	100840000	chr9	101025000	101030000	0,0,0	3.5501885	0.98709804	2.2636077	1.3595024	1.7838899	3.1423788	0.7518332	4.350826
chr9	72035000	72040000	chr9	72540000	72545000	0,0,0	3.934856	0.9984072	2.5992458	1.7586862	2.5377345	4.8796616	1.0507756	6.442938
chr9	74650000	74655000	chr9	75435000	75440000	0,0,0	3.1204197	0.98976773	1.8555983	1.7523665	2.0262065	3.0250218	0.60424644	4.582681
chr9	75820000	75825000	chr9	77180000	77185000	0,0,0	4.9509616	0.99977624	2.0102136	4.537221	5.5326247	4.3726377	2.0233188	8.405724
chr9	103115000	103120000	chr9	103355000	103360000	0,0,0	3.8082345	0.9800069	1.6831195	2.037832	2.3927243	2.1013653	0.70902675	3.9127717
chr9	103880000	103885000	chr9	104075000	104080000	0,0,0	2.756054	0.9633331	1.7560475	1.0273254	1.3607589	2.3930445	0.7652805	3.3062224
chr9	95480000	95485000	chr9	95550000	95555000	0,0,0	2.4710863	0.9659196	1.6416576	0.82228506	1.3612046	2.6484637	0.44430405	3.379384
chr9	72040000	72045000	chr9	72280000	72285000	0,0,0	3.0419629	0.9822862	1.6951863	1.7341957	1.9233849	2.4923232	0.6459918	4.03383
chr9	20535000	20540000	chr9	20930000	20935000	0,0,0	2.510145	0.9659229	1.4053001	1.3161919	1.6660987	2.209532	0.85670304	3.3794804
chr9	89050000	89055000	chr9	89940000	89945000	0,0,0	4.323389	0.99987346	2.2121332	5.8306947	5.8609233	6.3191624	2.2729435	11.502002
chr9	124885000	124890000	chr9	125575000	125580000	0,0,0	4.356474	0.9962334	2.73657	2.0454528	2.2204995	3.7639875	1.0788074	5.582168
chr9	89030000	89035000	chr9	90280000	90285000	0,0,0	3.2302492	0.9969374	2.0524788	1.8267219	2.3846734	4.1653404	0.9241096	5.789093
chr9	130355000	130360000	chr9	130680000	130685000	0,0,0	2.8301885	0.9865975	1.7221936	1.626044	1.8251171	2.867387	0.7014346	4.3127594
chr9	132400000	132405000	chr9	132545000	132550000	0,0,0	5.1949964	0.99781585	3.0758429	2.2678227	2.7714155	4.1113315	1.1562997	6.1271744
chr9	80065000	80070000	chr9	80745000	80750000	0,0,0	3.084939	0.9891136	1.6616071	1.8931199	2.3124561	2.837939	0.9415416	4.5207124
chr9	74890000	74895000	chr9	75430000	75435000	0,0,0	3.7612245	0.99765426	2.303043	2.030635	2.6530533	4.2507806	0.72563434	6.05579
chr9	72585000	72590000	chr9	73215000	73220000	0,0,0	3.2794778	0.97997737	2.0059602	1.4121495	1.6671623	2.6560528	0.68126655	3.9112968
chr9	97440000	97445000	chr9	97885000	97890000	0,0,0	3.5387044	0.9947182	2.0562065	2.820953	3.4130418	4.8612404	1.3756742	7.3687544
chr9	95920000	95925000	chr9	96065000	96070000	0,0,0	3.2400541	0.9905788	2.0932827	1.3655567	1.8972342	3.4514456	0.6849474	4.665274
chr9	137670000	137675000	chr9	137870000	137875000	0,0,0	2.882364	0.9895501	1.6518446	1.6808392	2.2024293	3.0675573	0.6310022	4.5616364
chr9	126885000	126890000	chr9	127080000	127085000	0,0,0	2.746832	0.98191774	1.8647487	0.9066202	1.5603795	3.2073557	0.5772902	4.0132403
chr9	80045000	80050000	chr9	80355000	80360000	0,0,0	2.9228914	0.98394215	1.7801702	1.5003881	1.7739065	2.798309	0.6655464	4.1319876
chr9	74420000	74425000	chr9	74640000	74645000	0,0,0	3.8275084	0.9858004	2.1487188	1.8657969	1.9831712	2.5964966	0.71938175	4.2549825
