chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr9	14460000	14465000	chr9	14765000	14770000	0,0,0	3.2721324	0.9868535	2.233533	1.0059373	1.6455076	3.4378827	0.51642257	4.3320494
chr9	89565000	89570000	chr9	89810000	89815000	0,0,0	2.062756	0.95286375	1.3267484	1.1275173	1.1394584	2.0527923	0.58613706	3.05503
chr9	23725000	23730000	chr9	23785000	23790000	0,0,0	1.9537367	0.9335626	1.4083347	0.62122047	0.87222564	2.1595798	0.37730572	2.711776
chr9	128165000	128170000	chr9	128670000	128675000	0,0,0	4.2173862	0.9919898	2.144296	2.213008	2.6013327	2.8604198	1.079651	4.827538
chr9	113100000	113105000	chr9	113380000	113385000	0,0,0	2.527488	0.9682012	1.4701221	1.387654	1.5604625	2.2152145	0.66693467	3.4486847
chr9	16570000	16575000	chr9	16865000	16870000	0,0,0	4.38512	0.99763167	2.2301188	2.120157	3.582606	4.1616254	1.0922525	6.046209
chr9	101080000	101085000	chr9	101535000	101540000	0,0,0	3.5660174	0.998097	2.4051726	1.5043066	2.4344704	4.927825	0.8671668	6.264987
chr9	34325000	34330000	chr9	34375000	34380000	0,0,0	1.9050508	0.9350702	1.2795703	0.72504866	1.0404252	2.0902448	0.50410396	2.7347324
chr9	80580000	80585000	chr9	80625000	80630000	0,0,0	2.4216003	0.9709526	1.5637763	0.94223905	1.4878148	2.7016459	0.5712675	3.539192
chr9	103360000	103365000	chr9	104070000	104075000	0,0,0	5.7654448	0.99997294	2.3174236	5.6996174	6.979023	5.451956	2.4508107	10.518282
chr9	99615000	99620000	chr9	100375000	100380000	0,0,0	4.451089	0.99529135	2.475702	1.8732892	2.7794113	3.6937628	1.0330251	5.358909
chr9	135285000	135290000	chr9	135450000	135455000	0,0,0	3.7113857	0.9951484	2.1294744	1.9405705	2.5787644	3.6040518	0.8533188	5.3290033
chr9	92900000	92905000	chr9	93515000	93520000	0,0,0	3.216999	0.99162924	1.9784428	1.8077629	3.212887	5.2364945	1.0931894	6.8433943
chr9	21555000	21560000	chr9	21985000	21990000	0,0,0	4.473777	1.0	2.0066173	2.181152	2.4855895	2.211452	0.9155955	4.150254
chr9	132860000	132865000	chr9	133225000	133230000	0,0,0	5.3601956	1.0	2.8252215	2.331942	2.7827444	3.270873	0.87680733	5.3437104
chr9	38725000	38730000	chr9	38760000	38765000	0,0,0	2.022547	0.9228158	1.436559	0.69327277	0.8131008	1.9455836	0.33510655	2.561826
chr9	120410000	120415000	chr9	123100000	123105000	0,0,0	3.6403468	0.9986982	1.7652639	3.3221793	3.6866672	3.6916287	1.8452297	6.644677
chr9	18250000	18255000	chr9	19025000	19030000	0,0,0	3.7034934	0.99598795	2.6380534	1.9907522	2.456983	5.91075	0.9057991	7.6803074
chr9	123640000	123645000	chr9	123690000	123695000	0,0,0	1.674752	0.9107561	1.2637756	0.48431122	0.68445456	1.9861338	0.25569883	2.4166327
chr9	111870000	111875000	chr9	112075000	112080000	0,0,0	2.2309072	0.9554985	1.382873	1.1155415	1.2909397	2.1209629	0.45730266	3.1125553
